"wage","exper","looks","union","goodhlth","educ","ethnicity","gender","marital","region","city","industry"
5.73000001907349,30,4,"no","yes",14,"white","female","married","north","small","service"
4.28000020980835,28,3,"no","yes",12,"white","female","married","south","small","manufacturing"
7.96000003814697,35,4,"no","yes",10,"white","female","single/divorced","north","small","manufacturing"
11.5699996948242,38,3,"no","yes",16,"white","male","married","north","big","service"
11.4200000762939,27,3,"no","yes",16,"white","male","married","north","small","manufacturing"
3.91000008583069,20,3,"no","no",12,"white","female","married","north","big","manufacturing"
8.76000022888184,12,3,"no","yes",16,"white","male","married","north","big","manufacturing"
7.69000005722046,5,4,"yes","yes",16,"white","male","single/divorced","north","small","manufacturing"
5,5,3,"no","yes",16,"white","female","single/divorced","north","medium","manufacturing"
3.89000010490417,12,3,"no","yes",12,"white","female","single/divorced","north","small","manufacturing"
3.45000004768372,3,4,"no","yes",12,"white","female","single/divorced","north","big","manufacturing"
4.03000020980835,6,4,"no","yes",16,"white","male","married","north","small","manufacturing"
5.1399998664856,19,2,"no","yes",17,"white","male","married","north","small","service"
3,8,3,"no","yes",16,"white","male","single/divorced","north","small","service"
7.98999977111816,12,4,"no","yes",16,"white","male","married","north","medium","manufacturing"
6.01000022888184,17,4,"no","yes",16,"white","male","married","north","small","manufacturing"
5.15999984741211,7,3,"no","yes",17,"white","male","married","north","medium","manufacturing"
11.539999961853,12,4,"no","yes",17,"white","male","married","south","small","service"
10.4399995803833,10,4,"no","yes",17,"white","female","single/divorced","north","big","manufacturing"
7.69000005722046,7,3,"no","yes",16,"white","female","married","north","medium","service"
7.69000005722046,7,4,"yes","yes",17,"white","male","single/divorced","north","small","manufacturing"
6.78999996185303,19,3,"no","yes",14,"white","male","married","north","small","service"
6.86999988555908,33,3,"no","yes",12,"white","male","married","north","big","service"
17.0300006866455,32,3,"no","yes",13,"white","male","married","north","big","manufacturing"
10.0500001907349,12,4,"no","yes",13,"white","male","married","north","big","manufacturing"
15.8100004196167,24,4,"no","yes",17,"white","male","married","south","small","service"
14.8400001525879,29,5,"no","yes",13,"white","male","single/divorced","south","big","service"
19.0799999237061,17,5,"no","yes",17,"white","male","single/divorced","north","big","manufacturing"
8.35000038146973,41,1,"no","no",16,"white","male","married","south","big","service"
9.61999988555908,40,3,"no","no",16,"white","male","married","north","small","manufacturing"
5.96000003814697,10,3,"no","yes",14,"white","male","married","north","small","manufacturing"
5.73000001907349,43,3,"no","no",10,"white","male","married","north","small","manufacturing"
6.73000001907349,41,4,"no","yes",10,"white","male","married","north","small","manufacturing"
8.17000007629395,18,2,"no","yes",16,"white","male","married","north","small","manufacturing"
12.3900003433228,28,4,"no","yes",12,"white","male","married","north","big","manufacturing"
9.61999988555908,37,2,"no","yes",13,"white","male","married","north","big","manufacturing"
4.82999992370605,20,4,"no","yes",16,"black","male","married","north","small","manufacturing"
7.69000005722046,10,2,"yes","yes",13,"white","male","married","north","small","manufacturing"
12.5,31,3,"no","yes",16,"white","male","married","south","small","manufacturing"
2.8199999332428,18,3,"no","yes",12,"white","male","married","north","medium","service"
12.3100004196167,9,3,"yes","yes",17,"white","male","single/divorced","north","big","manufacturing"
13.2200002670288,42,3,"no","yes",16,"white","male","married","north","big","manufacturing"
16.8299999237061,14,4,"no","yes",16,"white","male","married","south","big","manufacturing"
11.539999961853,27,3,"no","yes",16,"white","male","married","north","big","manufacturing"
4.94999980926514,20,3,"no","yes",14,"black","female","single/divorced","south","big","service"
7.21000003814697,14,3,"no","yes",17,"white","male","married","north","big","manufacturing"
11.5799999237061,4,3,"no","yes",17,"white","male","married","north","big","manufacturing"
15.3800001144409,13,3,"no","yes",17,"white","male","married","north","big","manufacturing"
6.09999990463257,5,3,"no","yes",17,"white","male","married","north","small","service"
7.92999982833862,32,3,"no","yes",17,"white","male","married","north","big","service"
9.15999984741211,19,4,"yes","yes",17,"white","female","married","north","big","service"
6.90999984741211,14,4,"no","yes",17,"white","female","single/divorced","south","big","service"
20.1800003051758,28,3,"no","yes",17,"white","male","married","north","big","service"
9.93000030517578,31,3,"yes","yes",17,"white","male","married","south","small","manufacturing"
7.78999996185303,18,4,"no","yes",13,"white","male","married","north","small","manufacturing"
5.13000011444092,23,3,"no","yes",5,"white","male","married","north","medium","service"
10.9899997711182,14,4,"no","yes",16,"white","male","married","south","small","manufacturing"
6.55999994277954,17,2,"no","yes",13,"white","male","married","north","small","manufacturing"
10.1000003814697,16,3,"no","yes",13,"white","male","married","north","big","manufacturing"
10.7399997711182,19,3,"no","yes",16,"white","male","married","north","medium","manufacturing"
16.3500003814697,26,3,"no","yes",17,"white","male","married","north","big","manufacturing"
4.61999988555908,20,4,"no","yes",12,"white","female","married","south","small","service"
7.48999977111816,18,3,"no","yes",17,"white","male","married","north","medium","manufacturing"
19.2299995422363,35,3,"no","yes",17,"white","male","married","north","big","manufacturing"
4.76999998092651,9,4,"no","yes",17,"white","female","single/divorced","south","small","service"
7.1399998664856,20,2,"no","yes",17,"white","female","single/divorced","north","big","service"
14.4200000762939,7,4,"no","yes",17,"white","male","married","south","medium","service"
9.27999973297119,40,4,"no","yes",17,"white","male","single/divorced","south","medium","service"
29.9799995422363,12,3,"no","yes",17,"white","male","married","north","small","service"
32.7900009155273,33,4,"no","yes",16,"white","male","married","north","small","service"
9.61999988555908,16,3,"no","yes",16,"white","male","married","north","small","manufacturing"
8.35999965667725,15,3,"no","yes",16,"white","female","married","north","big","manufacturing"
21.6299991607666,11,3,"no","yes",17,"white","male","married","north","small","service"
15.8999996185303,24,4,"no","yes",17,"white","male","married","north","small","service"
5.76999998092651,6,2,"no","yes",17,"white","male","married","south","big","service"
20.9899997711182,40,2,"no","yes",17,"white","male","married","south","big","service"
23.3199996948242,15,5,"no","yes",17,"white","male","married","south","medium","service"
4.96999979019165,9,4,"no","yes",17,"white","male","married","north","small","service"
6.8899998664856,16,2,"no","yes",17,"white","male","married","south","medium","manufacturing"
5.73000001907349,12,2,"no","yes",13,"white","female","single/divorced","south","big","service"
5.19000005722046,8,3,"no","yes",17,"white","male","married","north","small","service"
7.78999996185303,25,3,"yes","yes",17,"white","female","single/divorced","north","small","service"
8.78999996185303,24,3,"yes","yes",16,"white","female","married","north","medium","service"
9.31999969482422,25,4,"yes","yes",17,"white","female","single/divorced","south","small","manufacturing"
8.32999992370605,7,4,"no","yes",17,"white","female","single/divorced","south","big","service"
10.1199998855591,40,3,"no","yes",10,"black","female","single/divorced","north","small","service"
1.98000001907349,29,3,"no","no",8,"white","female","single/divorced","north","medium","service"
8.23999977111816,13,4,"no","yes",17,"white","female","married","north","big","service"
5.05000019073486,5,4,"no","yes",14,"white","female","single/divorced","north","medium","service"
6.55000019073486,10,3,"no","yes",16,"white","female","married","north","medium","manufacturing"
4.46999979019165,25,3,"yes","yes",13,"white","male","married","north","medium","service"
7.96000003814697,10,3,"no","yes",16,"white","female","married","north","big","service"
6.25,20,2,"no","yes",17,"white","male","single/divorced","north","medium","service"
4.13000011444092,7,3,"no","yes",16,"white","male","single/divorced","north","medium","manufacturing"
6.73000001907349,25,2,"no","yes",13,"white","female","married","south","medium","service"
7.69000005722046,8,3,"no","yes",17,"white","female","single/divorced","north","small","service"
4.34999990463257,8,2,"no","yes",14,"white","female","married","north","small","service"
7.69000005722046,28,3,"no","yes",14,"white","male","married","north","small","manufacturing"
4.80999994277954,37,2,"no","yes",16,"white","male","married","south","small","service"
5.23999977111816,31,3,"no","yes",17,"white","male","married","north","medium","service"
2.14000010490417,24,4,"no","yes",16,"white","male","married","north","medium","service"
4.48999977111816,33,4,"no","yes",17,"white","male","married","north","medium","service"
3.60999989509583,8,4,"no","yes",17,"white","male","married","north","small","service"
5.44999980926514,33,3,"no","yes",17,"white","male","married","north","small","service"
5,30,3,"no","yes",17,"white","male","married","north","medium","service"
6.73000001907349,23,3,"no","yes",17,"white","male","married","north","small","service"
10.0500001907349,24,3,"no","yes",16,"white","male","married","north","medium","manufacturing"
6.53999996185303,4,4,"no","yes",17,"white","male","married","north","small","manufacturing"
9.19999980926514,40,3,"no","yes",17,"white","female","single/divorced","north","medium","service"
4.61999988555908,1,3,"no","yes",16,"white","female","single/divorced","north","small","service"
3.36999988555908,36,3,"no","yes",13,"black","female","single/divorced","north","big","service"
5.53999996185303,7,4,"no","yes",17,"white","female","single/divorced","north","small","service"
6.1100001335144,7,5,"no","yes",12,"white","female","married","north","medium","manufacturing"
4.98999977111816,14,3,"no","yes",13,"white","female","single/divorced","north","small","service"
5.88000011444092,7,3,"no","yes",17,"white","female","married","north","small","service"
5.65999984741211,11,4,"yes","yes",16,"white","female","single/divorced","south","small","service"
4,6,3,"no","yes",16,"white","male","married","north","small","service"
6.86999988555908,23,3,"no","yes",16,"white","female","married","north","medium","service"
4.36999988555908,19,2,"no","yes",17,"white","female","single/divorced","north","medium","service"
5.76999998092651,30,3,"no","yes",13,"white","male","married","south","small","manufacturing"
5.76999998092651,21,4,"no","yes",17,"white","male","married","south","medium","service"
12.3100004196167,9,4,"no","yes",17,"white","male","married","north","big","service"
19.0799999237061,29,3,"yes","yes",17,"white","male","married","south","small","service"
7.55000019073486,9,3,"no","yes",17,"white","female","single/divorced","north","medium","service"
5.90000009536743,18,4,"no","yes",17,"white","female","single/divorced","north","medium","service"
6.36999988555908,26,3,"no","yes",17,"white","female","single/divorced","south","medium","service"
6.15000009536743,21,4,"yes","yes",17,"white","male","married","north","medium","service"
1.91999995708466,12,2,"yes","yes",17,"white","female","married","south","small","service"
3.26999998092651,11,3,"no","yes",17,"white","male","single/divorced","north","small","service"
2.1800000667572,18,4,"no","yes",17,"white","male","single/divorced","north","small","service"
5.61999988555908,22,3,"no","yes",17,"white","male","married","north","small","service"
9.28999996185303,38,4,"no","yes",17,"white","female","single/divorced","north","medium","service"
6.40999984741211,10,3,"yes","yes",17,"white","female","married","north","small","service"
7.46000003814697,22,3,"yes","yes",16,"white","female","married","north","small","service"
6.59000015258789,16,2,"yes","yes",17,"white","female","single/divorced","north","big","service"
6.73000001907349,20,2,"yes","yes",17,"white","female","married","south","small","service"
5.6100001335144,14,3,"yes","yes",16,"white","female","married","south","small","service"
3.65000009536743,14,4,"no","yes",16,"white","female","married","north","big","service"
13.0100002288818,15,4,"yes","yes",17,"white","male","married","north","big","service"
6.96999979019165,18,3,"yes","yes",17,"white","male","single/divorced","north","medium","service"
7.69000005722046,21,3,"yes","yes",17,"white","female","married","south","small","service"
6.73000001907349,15,3,"no","yes",16,"white","male","married","south","small","service"
5.13000011444092,10,3,"yes","yes",17,"white","female","single/divorced","north","medium","service"
2.14000010490417,6,4,"no","yes",16,"white","female","married","north","small","service"
4.53000020980835,8,2,"yes","yes",14,"white","female","married","north","small","service"
9.10000038146973,18,2,"no","yes",17,"white","female","single/divorced","south","big","service"
9.77999973297119,15,3,"yes","yes",17,"white","female","single/divorced","north","small","service"
3.63000011444092,11,4,"no","yes",13,"white","female","married","north","big","service"
7.21000003814697,20,3,"yes","no",17,"black","female","married","north","big","service"
10.6199998855591,18,3,"yes","yes",17,"white","female","married","north","small","service"
4.61999988555908,10,3,"yes","yes",17,"white","female","married","north","small","service"
6.53999996185303,26,3,"yes","yes",14,"white","female","single/divorced","south","medium","service"
12.1199998855591,35,3,"yes","no",17,"white","female","single/divorced","north","big","service"
7.21000003814697,30,4,"yes","yes",16,"white","female","married","north","small","service"
6.25,6,4,"yes","no",16,"white","female","single/divorced","north","small","service"
3.84999990463257,13,3,"yes","yes",17,"white","female","married","north","small","service"
3.02999997138977,10,3,"no","no",16,"white","female","married","north","small","service"
2.00999999046326,16,3,"no","yes",16,"white","female","married","north","big","service"
3.90000009536743,5,4,"yes","yes",17,"white","female","married","north","medium","service"
6.34999990463257,11,3,"yes","yes",17,"white","female","single/divorced","north","big","service"
2,6,4,"no","yes",14,"white","female","married","north","medium","service"
7.69000005722046,22,3,"yes","yes",17,"white","male","married","south","small","service"
2.63000011444092,4,3,"no","yes",12,"white","female","single/divorced","north","big","service"
5,15,4,"yes","yes",17,"white","female","married","south","big","service"
6.53999996185303,7,3,"no","yes",17,"white","female","single/divorced","north","big","service"
5.19000005722046,10,3,"no","yes",16,"white","female","married","north","small","service"
9.75,8,3,"yes","yes",16,"white","female","married","north","big","service"
2.80999994277954,14,3,"no","yes",13,"black","female","married","north","big","manufacturing"
4.61999988555908,11,3,"yes","yes",17,"white","male","married","north","small","service"
7.32999992370605,34,3,"yes","yes",17,"white","male","married","north","small","service"
7.69000005722046,12,4,"yes","yes",17,"white","male","married","north","medium","service"
